Year,CVE ID,Class
2003,CVE-2003-1604,NETWORK_REMOTE
2010,CVE-2010-3432,NETWORK_REMOTE
2010,CVE-2010-4563,NETWORK_REMOTE
2010,CVE-2010-4648,NETWORK_REMOTE
2012,CVE-2012-2744,NETWORK_REMOTE
2012,CVE-2012-3412,NETWORK_REMOTE
2012,CVE-2012-3552,NETWORK_REMOTE
2012,CVE-2012-4444,NETWORK_REMOTE
2012,CVE-2012-6638,NETWORK_REMOTE
2013,CVE-2013-0343,NETWORK_REMOTE
2013,CVE-2013-4125,NETWORK_REMOTE
2013,CVE-2013-4127,NETWORK_REMOTE
2013,CVE-2013-4348,NETWORK_REMOTE
2013,CVE-2013-4350,NETWORK_REMOTE
2013,CVE-2013-4387,NETWORK_REMOTE
2013,CVE-2013-4563,NETWORK_REMOTE
2013,CVE-2013-7470,NETWORK_REMOTE
2014,CVE-2014-0055,NETWORK_REMOTE
2014,CVE-2014-0077,NETWORK_REMOTE
2014,CVE-2014-0100,NETWORK_REMOTE
2014,CVE-2014-0101,NETWORK_REMOTE
2014,CVE-2014-0131,NETWORK_REMOTE
2014,CVE-2014-1690,NETWORK_REMOTE
2014,CVE-2014-2038,NETWORK_REMOTE
2014,CVE-2014-2309,NETWORK_REMOTE
2014,CVE-2014-2523,NETWORK_REMOTE
2014,CVE-2014-2568,NETWORK_REMOTE
2014,CVE-2014-2706,NETWORK_REMOTE
2014,CVE-2014-3535,NETWORK_REMOTE
2014,CVE-2014-3687,NETWORK_REMOTE
2014,CVE-2014-3688,NETWORK_REMOTE
2014,CVE-2014-5077,NETWORK_REMOTE
2014,CVE-2014-7841,NETWORK_REMOTE
2014,CVE-2014-8480,NETWORK_REMOTE
2014,CVE-2014-8481,NETWORK_REMOTE
2014,CVE-2014-8709,NETWORK_REMOTE
2014,CVE-2014-9715,NETWORK_REMOTE
2014,CVE-2014-9900,NETWORK_REMOTE
2015,CVE-2015-1421,NETWORK_REMOTE
2015,CVE-2015-1465,NETWORK_REMOTE
2015,CVE-2015-2922,NETWORK_REMOTE
2015,CVE-2015-5364,NETWORK_REMOTE
2015,CVE-2015-5366,NETWORK_REMOTE
2015,CVE-2015-8019,NETWORK_REMOTE
2015,CVE-2015-8215,NETWORK_REMOTE
2015,CVE-2015-8767,NETWORK_REMOTE
2015,CVE-2015-8787,NETWORK_REMOTE
2016,CVE-2016-10229,NETWORK_REMOTE
2016,CVE-2016-2070,NETWORK_REMOTE
2016,CVE-2016-2117,NETWORK_REMOTE
2016,CVE-2016-3707,NETWORK_REMOTE
2016,CVE-2016-7917,NETWORK_REMOTE
2016,CVE-2016-8630,NETWORK_REMOTE
2016,CVE-2016-9755,NETWORK_REMOTE
2016,CVE-2016-9919,NETWORK_REMOTE
2017,CVE-2017-12188,NETWORK_REMOTE
2017,CVE-2017-16912,NETWORK_REMOTE
2017,CVE-2017-16913,NETWORK_REMOTE
2017,CVE-2017-16914,NETWORK_REMOTE
2017,CVE-2017-18017,NETWORK_REMOTE
2017,CVE-2017-18509,NETWORK_REMOTE
2017,CVE-2017-2634,NETWORK_REMOTE
2017,CVE-2017-5897,NETWORK_REMOTE
2017,CVE-2017-5970,NETWORK_REMOTE
2017,CVE-2017-6214,NETWORK_REMOTE
2017,CVE-2017-6347,NETWORK_REMOTE
2017,CVE-2017-7477,NETWORK_REMOTE
2017,CVE-2017-8890,NETWORK_REMOTE
2017,CVE-2017-9075,NETWORK_REMOTE
2017,CVE-2017-9076,NETWORK_REMOTE
2017,CVE-2017-9077,NETWORK_REMOTE
2018,CVE-2018-1065,NETWORK_REMOTE
2018,CVE-2018-10938,NETWORK_REMOTE
2018,CVE-2018-16880,NETWORK_REMOTE
2018,CVE-2018-17977,NETWORK_REMOTE
2018,CVE-2018-5390,NETWORK_REMOTE
2018,CVE-2018-5391,NETWORK_REMOTE
2018,CVE-2018-5814,NETWORK_REMOTE
2019,CVE-2019-0136,NETWORK_REMOTE
2019,CVE-2019-10126,NETWORK_REMOTE
2019,CVE-2019-10638,NETWORK_REMOTE
2019,CVE-2019-10639,NETWORK_REMOTE
2019,CVE-2019-11477,NETWORK_REMOTE
2019,CVE-2019-11478,NETWORK_REMOTE
2019,CVE-2019-11479,NETWORK_REMOTE
2019,CVE-2019-11683,NETWORK_REMOTE
2019,CVE-2019-11815,NETWORK_REMOTE
2019,CVE-2019-12378,NETWORK_REMOTE
2019,CVE-2019-14816,NETWORK_REMOTE
2019,CVE-2019-14895,NETWORK_REMOTE
2019,CVE-2019-16714,NETWORK_REMOTE
2019,CVE-2019-17133,NETWORK_REMOTE
2019,CVE-2019-17666,NETWORK_REMOTE
2019,CVE-2019-18680,NETWORK_REMOTE
2019,CVE-2019-19045,NETWORK_REMOTE
2019,CVE-2019-19071,NETWORK_REMOTE
2019,CVE-2019-19075,NETWORK_REMOTE
2019,CVE-2019-19076,NETWORK_REMOTE
2019,CVE-2019-19079,NETWORK_REMOTE
2019,CVE-2019-19080,NETWORK_REMOTE
2019,CVE-2019-19081,NETWORK_REMOTE
2019,CVE-2019-20095,NETWORK_REMOTE
2019,CVE-2019-3900,NETWORK_REMOTE
2020,CVE-2020-10711,NETWORK_REMOTE
2020,CVE-2020-12351,NETWORK_REMOTE
2020,CVE-2020-12352,NETWORK_REMOTE
2020,CVE-2020-12654,NETWORK_REMOTE
2020,CVE-2020-14305,NETWORK_REMOTE
2020,CVE-2020-1749,NETWORK_REMOTE
2020,CVE-2020-24490,NETWORK_REMOTE
2020,CVE-2020-25645,NETWORK_REMOTE
2020,CVE-2020-25705,NETWORK_REMOTE
2020,CVE-2020-26141,NETWORK_REMOTE
2020,CVE-2020-29534,NETWORK_REMOTE
2020,CVE-2020-36516,NETWORK_REMOTE
2021,CVE-2021-20322,NETWORK_REMOTE
2021,CVE-2021-38201,NETWORK_REMOTE
2021,CVE-2021-45485,NETWORK_REMOTE
2021,CVE-2021-45486,NETWORK_REMOTE
2022,CVE-2022-0435,NETWORK_REMOTE
2022,CVE-2022-0742,NETWORK_REMOTE
2022,CVE-2022-1012,NETWORK_REMOTE
2022,CVE-2022-1678,NETWORK_REMOTE
2022,CVE-2022-1974,NETWORK_REMOTE
2022,CVE-2022-2663,NETWORK_REMOTE
2022,CVE-2022-3526,NETWORK_REMOTE
2022,CVE-2022-3543,NETWORK_REMOTE
2022,CVE-2022-3564,NETWORK_REMOTE
2022,CVE-2022-3566,NETWORK_REMOTE
2022,CVE-2022-3619,NETWORK_REMOTE
2022,CVE-2022-3640,NETWORK_REMOTE
2022,CVE-2022-42720,NETWORK_REMOTE
2022,CVE-2022-42895,NETWORK_REMOTE
2022,CVE-2022-42896,NETWORK_REMOTE
2022,CVE-2022-43945,NETWORK_REMOTE
2022,CVE-2022-45934,NETWORK_REMOTE